dimensions,width,height
"(320, 480)",320,480
"(480, 480)",480,480
"(275, 183)",275,183
"(225, 225)",225,225
"(1000, 668)",1000,668
"(250, 250)",250,250
"(275, 183)",275,183
"(251, 201)",251,201
"(225, 225)",225,225
"(1280, 720)",1280,720
"(190, 265)",190,265
"(1500, 2000)",1500,2000
"(201, 251)",201,251
"(275, 183)",275,183
"(183, 275)",183,275
"(940, 788)",940,788
"(225, 225)",225,225
"(1280, 720)",1280,720
"(195, 259)",195,259
"(260, 194)",260,194
"(290, 174)",290,174
"(1024, 1020)",1024,1020
"(724, 724)",724,724
"(408, 612)",408,612
"(800, 400)",800,400
"(390, 280)",390,280
"(293, 172)",293,172
"(1500, 490)",1500,490
"(1024, 576)",1024,576
"(390, 280)",390,280
"(275, 183)",275,183
"(500, 500)",500,500
"(225, 225)",225,225
"(1400, 932)",1400,932
"(2461, 2560)",2461,2560
"(283, 400)",283,400
"(353, 280)",353,280
"(180, 280)",180,280
"(400, 400)",400,400
"(261, 193)",261,193
"(450, 301)",450,301
"(600, 399)",600,399
"(225, 225)",225,225
"(1300, 1300)",1300,1300
"(466, 423)",466,423
"(500, 281)",500,281
"(204, 247)",204,247
"(225, 225)",225,225
"(1000, 667)",1000,667
"(177, 285)",177,285
"(1600, 1044)",1600,1044
"(161, 312)",161,312
"(276, 182)",276,182
"(600, 388)",600,388
"(510, 340)",510,340
"(700, 467)",700,467
"(236, 214)",236,214
"(225, 225)",225,225
"(275, 183)",275,183
"(194, 259)",194,259
"(195, 259)",195,259
"(225, 225)",225,225
"(1038, 1004)",1038,1004
"(275, 183)",275,183
"(225, 225)",225,225
"(276, 183)",276,183
"(275, 183)",275,183
"(272, 185)",272,185
"(800, 533)",800,533
"(225, 225)",225,225
"(612, 407)",612,407
"(306, 165)",306,165
"(2965, 3953)",2965,3953
"(800, 569)",800,569
"(1000, 1500)",1000,1500
"(291, 173)",291,173
"(249, 280)",249,280
"(168, 300)",168,300
"(225, 225)",225,225
"(259, 194)",259,194
"(1800, 1343)",1800,1343
"(299, 168)",299,168
"(225, 225)",225,225
"(612, 407)",612,407
"(183, 275)",183,275
"(400, 266)",400,266
"(800, 800)",800,800
